LocalTime,Type,Symbol,ClientOrderID,ExchangeOrderID,ExchangeTradeID/UserProductInfo,Price/YdPosition,OrigionVolume/Position,TradedVolume/TdPosition,Side,OpenClose,OrderType,InsertTime,CancelTime,Status,Text
20241129_02:56:31,MSG,,,,,,,,,,,,,,Authenticate:正确
20241129_02:56:33,MSG,,,,,,,,,,,,,,212893 Login:正确
20241129_02:56:35,RP,hc2501,N/A,N/A,N/A,1,1,0,L,History,N/A,N/A,N/A,N/A,N/A
20241129_02:57:01,IO,FG501,2036,,,1247.000000,1,0,B,Open,Limit,N/A,N/A,N/A,CancelCount:0
20241129_02:57:01,IO,SA501,4074,,,1503.000000,1,0,B,Open,Limit,N/A,N/A,N/A,CancelCount:0
20241129_02:57:01,UO,FG501,2036,,Pandora,1247.000000,1,0,B,Open,Limit,02:57:03,,未知,报单已提交
20241129_02:57:01,UO,FG501,2036,        3915,Pandora,1247.000000,1,0,B,Open,Limit,02:57:03,,未成交(队),未成交
20241129_02:57:01,UO,SA501,4074,,Pandora,1503.000000,1,0,B,Open,Limit,02:57:03,,未知,报单已提交
20241129_02:57:01,UO,SA501,4074,        3916,Pandora,1503.000000,1,0,B,Open,Limit,02:57:03,,未成交(队),未成交
